No:,3 month,1 month,1 week,Patients num,,,,,,
1,1,1,1,108,,,,,,
2,1,1,1.819,98,,,,,,
3,1,1,0.999,81,,,Max3m,Max1m,Max1w,Maxpat
4,1,1,1.574,102,,,1,1.348,5.292,175
5,1,1,1,86,,,Min3m,Min1m,Min1w,Minpat
6,1,1,1.4,45,,,1,0.764,0.202,13
7,1,1,1,120,,,,,,
8,1,1,1.312,39,,,,,,
9,1,1,1.229,40,,,,,,
10,1,1,1.054,90,,,,,,
11,1,1.001,1,42,,,,,,
12,1,1,1,43,,,,,,
13,1,1,1,38,,,,,,
14,1,1,0.933,72,,,,,,
15,1,1,3.749,68,,,,,,
16,1,1,1.053,22,,,,,,
17,1,1,1.623,77,,,,,,
18,1,0.997,1,82,,,,,,
19,1,1,1,105,,,,,,
20,1,1,0.847,103,,,,,,
21,1,0.889,0.809,50,,,,,,
22,1,1,1.034,79,,,,,,
23,1,1,1.162,100,,,,,,
24,1,1,1.185,40,,,,,,
25,1,1,2.884,71,,,,,,
26,1,1,1.133,34,,,,,,
27,1,1,1.168,32,,,,,,
28,1,1,1.974,88,,,,,,
29,1,1,1,91,,,,,,
30,1,1,0.682,58,,,,,,
31,1,1,1.015,114,,,,,,
32,1,1,0.618,65,,,,,,
33,1,1,1,31,,,,,,
34,1,1,0.787,83,,,,,,
35,1,1,0.931,116,,,,,,
36,1,1,0.918,44,,,,,,
37,1,1,1.204,57,,,,,,
38,1,1,1.096,36,,,,,,
39,1,1,1.616,47,,,,,,
40,1,1,0.963,47,,,,,,
41,1,1,2.557,71,,,,,,
42,1,1,1,28,,,,,,
43,1,1,4.341,30,,,,,,
44,1,1,0.57,89,,,,,,
45,1,1,0.899,46,,,,,,
46,1,1,2.918,67,,,,,,
47,1,1,1,53,,,,,,
48,1,1,0.379,91,,,,,,
49,1,1,1.847,90,,,,,,
50,1,1,0.991,26,,,,,,
51,1,1,1,83,,,,,,
52,1,1,1.058,32,,,,,,
53,1,1,1.504,22,,,,,,
54,1,1,1.127,115,,,,,,
55,1,1,1,57,,,,,,
56,1,1,1.091,139,,,,,,
57,1,1,1,76,,,,,,
58,1,1,1,72,,,,,,
59,1,1,1.044,53,,,,,,
60,1,1,1.12,44,,,,,,
61,1,1,1.108,33,,,,,,
62,1,1,0.984,81,,,,,,
63,1,1,1,56,,,,,,
64,1,1,1.027,59,,,,,,
65,1,1,0.968,51,,,,,,
66,1,1,1.132,75,,,,,,
67,1,1,1,29,,,,,,
68,1,1,1,47,,,,,,
69,1,1,1,29,,,,,,
70,1,1,0.692,84,,,,,,
71,1,0.997,0.506,96,,,,,,
72,1,1,1.22,69,,,,,,
73,1,1,1,36,,,,,,
74,1,1,1.309,91,,,,,,
75,1,1,1,120,,,,,,
76,1,1,1,76,,,,,,
77,1,1,1.598,79,,,,,,
78,1,1,0.386,42,,,,,,
79,1,1,1,37,,,,,,
80,1,1,1,85,,,,,,
81,1,1,1,94,,,,,,
82,1,1,1,50,,,,,,
83,1,1,1.298,83,,,,,,
84,1,1,0.798,69,,,,,,
85,1,1,2.985,56,,,,,,
86,1,1,1.175,71,,,,,,
87,1,1,5.084,113,,,,,,
88,1,1,1,46,,,,,,
89,1,1,1.048,83,,,,,,
90,1,1,1,87,,,,,,
91,1,1,1.255,67,,,,,,
92,1,1,1,118,,,,,,
93,1,1,1,82,,,,,,
94,1,1,1,83,,,,,,
95,1,1,0.947,57,,,,,,
96,1,1,1.023,56,,,,,,
97,1,1,0.242,88,,,,,,
98,1,1,1.039,50,,,,,,
99,1,1,0.622,50,,,,,,
100,1,1,1,47,,,,,,
101,1,1,2.064,35,,,,,,
102,1,1,0.329,40,,,,,,
103,1,1,1,34,,,,,,
104,1,1,1.144,111,,,,,,
105,1,1,0.942,52,,,,,,
106,1,1,1.168,41,,,,,,
107,1,1,3.892,101,,,,,,
108,1,1,1,87,,,,,,
109,1,1,1.145,58,,,,,,
110,1,1,0.477,56,,,,,,
111,1,1,1,25,,,,,,
112,1,1,1,59,,,,,,
113,1,1,0.778,75,,,,,,
114,1,1,0.95,31,,,,,,
115,1,1,1,95,,,,,,
